"Group","Category","Sequence | Parameter","Siemens","General Electric","Philips","Canon","Hitachi"
"1","spin_echo_sequences","spin_echo","SE","SE","SE","SE","SE"
"1","spin_echo_sequences","turbo_spin_echo","TSE; Turbo","FastSE; FSE","TSE","FastSE","FastSE"
"1","spin_echo_sequences","single_shot_tse","HASTE","Single-Shot FSE","Single-Shot TSE","FASE","Single-Shot FSE"
"1","spin_echo_sequences","tse_with_restore","RESTORE","Fast Recovery FSE; FRFSE","DRIVE","T2 Plus FSE","Driven Equilibrium; DE-FSE; DE-FIR"
"1","spin_echo_sequences","variable_flip_3d_tse","SPACE","CUBE","VISTA","FASE3D mVox","isoFSE"
"1","spin_echo_sequences","cartilage_mapping_tse","MapIT T2","Cartigram","Cartilage Assessment","Multi Echo T2","T2 Relax Map"
"1","spin_echo_sequences","dixon_water_fat_separation_tse","Dixon TSE; Dixon","IDEAL; FLEX","mDixon XD; mDixon TSE","Water Fat Separation; WFS TSE","FatSep"
"2","gradient_echo_sequences","gradient_echo","GRE","GRE","Fast Field Echo; FFE","Field Echo; FE","GE"
"2","gradient_echo_sequences","rf_spoiled_incoherent_gre","FLASH","SPGR; Spoiled Gradient Echo","T1-FFE","T1-FFE","RF Spoiled SARGE; RSSG"
"2","gradient_echo_sequences","coherent_gre_with_fid_refocusing_ssfp","FISP","GRASS","T2*-FFE","SSFP-c","Rephased SARGE"
"2","gradient_echo_sequences","coherent_gre_with_echo_refocusing_ssfp","PSIF","SSFP","T2-FFE","SSFP","Time-Reversed SARGE; TRSG"
"2","gradient_echo_sequences","coherent_gre_with_balanced_fid_echo_refocusing_ssfp","TrueFISP","FIESTA","Balanced FFE; b-FFE","True SSFP","Balanced SARGE; BASG"
"2","gradient_echo_sequences","coherent_balanced_gre_using_dual_excitation_ssfp","CISS","FIESTA-C","","","Phase Balanced SARGE; PBSG"
"2","gradient_echo_sequences","coherent_double_combined_echos_ssfp","DESS","MENSA","","",""
"2","gradient_echo_sequences","spoiled_combined_multiple_fid_gre","MEDIC","MERGE; COSMIC","m-FFE","mEcho; DUAL 3D","ADAGE"
"2","gradient_echo_sequences","ultrafast_rf_spoiled_incoherent_2d_gre","TurboFLASH","Fast GRE; Fast SPGR","TFE","mpFFE","fRSSG"
"2","gradient_echo_sequences","ultrafast_rf_spoiled_incoherent_3d_gre","MPRAGE; MP-RAGE","BRAVO; 3D FGRE; 3D Fast SPGR","3D-T1 TFE; 3D TFE","FastFE 3D; 3DFFE-IR","3D-GEIR"
"2","gradient_echo_sequences","volume_interpolated_fatsat_3d_gre","VIBE; T1-VIBE","FAME; LAVA-XV","THRIVE","3D QUICK","TIGRE"
"2","gradient_echo_sequences","dixon_water_fat_separation_3d_gre","Dixon VIBE","LAVA-FLEX","mDixon","WFS","FatSep RSSG"
"2","gradient_echo_sequences","susceptibility_weighted_mip_gre","SWI","SWAN","SWip; SWI-phase","Flow Sensitive Black Blood; FSBB","BSI"
"2","gradient_echo_sequences","dynamic_contrast_perfusion_gre","Neuro Perfusion","BrainSTAT","PRESTO; T2* Perfusion","","CE-Perfusion"
"2","gradient_echo_sequences","iron_concentration_mapping_gre","MapIT T2*","Star Map","mDIXON-Quant","","T2* RelaxMap"
"3","inversion_recovery_sequences","inversion_recovery_tse","IR; IRM; TurboIR; TIRM","IR; FSE-IR; FastIR","IR; IR-TSE","IR","IR; FIR"
"3","inversion_recovery_sequences","short_tau_inversion_recovery_tse","STIR; Turbo STIR","STIR; Fast STIR","STIR; STIR TSE","FastSTIR","FIR-STIR; Fast STIR"
"3","inversion_recovery_sequences","long_tau_inversion_recovery_tse","Dark Fluid; FLAIR; Turbo FLAIR","FLAIR","FLAIR","FastFLAIR","FIR-FLAIR; FastFLAIR"
